adduser  3.118
libkrb5-3  1.18.3-6+deb11u1
libkrb5support0  1.18.3-6+deb11u1
libksba8  1.5.0-3
liblapack3  3.9.0-3
libldap-2.4-2  2.4.57+dfsg-3
libleatherman1.12.1  1.12.1+dfsg-1.1
liblocale-gettext-perl  1.07-4+b1
liblognorm5  2.0.5-1.1
liblua5.2-0  5.2.4-1.1+b3
liblz4-1  1.9.3-2
liblzma5  5.2.5-2
libmagic1  1:5.39-3
libmagic-mgc  1:5.39-3
libmd0  1.0.3-3
libmm-glib0  1.14.12-0.2
libmnl0  1.0.4-3
libmount1  2.36.1-8
libmpdec3  2.5.1-1
libmpfr6  4.1.0-3
libncurses6  6.2+20201114-2
libncursesw6  6.2+20201114-2
libndp0  1.6-1+b1
libnettle8  3.7.3-1
libnewt0.52  0.52.21-4+b3
libnfsidmap2  0.25-6
libnftables1  0.9.8-3.1
libnftnl11  1.1.9-1
libnghttp2-14  1.43.0-1
libnl-3-200  3.4.0-1+b1
libnl-genl-3-200  3.4.0-1+b1
libnl-route-3-200  3.4.0-1+b1
libnm0  1.30.0-2
libnorm1  1.5.9+dfsg-2
libnpth0  1.6-3
libnsl2  1.3.0-2
libp11-kit0  0.23.22-1
libpam0g  1.4.0-9+deb11u1
libpam-modules  1.4.0-9+deb11u1
libpam-modules-bin  1.4.0-9+deb11u1
libpam-runtime  1.4.0-9+deb11u1
libpam-systemd  247.3-6
libparted2  3.4-1
libpcre2-8-0  10.36-2
libpcre3  2:8.39-13
libpcsclite1  1.9.1-1
libpgm-5.3-0  5.3.128~dfsg-2
libpng16-16  1.6.37-3
libpolkit-agent-1-0  0.105-31
libpolkit-gobject-1-0  0.105-31
libpopt0  1.18-2
libpq5  13.4-0+deb11u1
libprocps8  2:3.3.17-5
libproxy1v5  0.4.17-1
libpsl5  0.21.0-1.2
libpython3.9  3.9.2-1
libpython3.9-minimal  3.9.2-1
libpython3.9-stdlib  3.9.2-1
libpython3-stdlib  3.9.2-3
libquadmath0  10.2.1-6
librdkafka1  1.6.0-1
libreadline8  8.1-1
librpm9  4.16.1.2+dfsg1-3
librpmbuild9  4.16.1.2+dfsg1-3
librpmio9  4.16.1.2+dfsg1-3
librpmsign9  4.16.1.2+dfsg1-3
librtmp1  2.4+20151223.gitfa8646d.1-2+b2
libruby2.7  2.7.4-1
libsasl2-2  2.1.27+dfsg-2.1
libsasl2-modules-db  2.1.27+dfsg-2.1
libseccomp2  2.5.1-1
libselinux1  3.1-3
libsemanage1  3.1-1+b2
libsemanage-common  3.1-1
libsepol1  3.1-1
libsigsegv2  2.13-1
libslang2  2.3.2-5
libsm6  2:1.2.3-1
libsmartcols1  2.36.1-8
libsodium23  1.0.18-1
libsoup2.4-1  2.72.0-2
libsqlite3-0  3.34.1-3
libss2  1.46.2-2
libssh2-1  1.9.0-2
libssl1.1  1.1.1k-1+deb11u1
libstdc++6  10.2.1-6
libsystemd0  247.3-6
libtasn1-6  4.16.0-2
libteamdctl0  1.31-1
libtext-charwidth-perl  0.04-10+b1
libtext-iconv-perl  1.7-7+b1
libtext-wrapi18n-perl  0.06-9
libtinfo6  6.2+20201114-2
libtirpc3  1.3.1-1
libtirpc-common  1.3.1-1
libudev1  247.3-6
libunistring2  0.9.10-4
libuuid1  2.36.1-8
libwrap0  7.6.q-31
libx11-6  2:1.7.2-1
libx11-data  2:1.7.2-1
libxau6  1:1.0.9-1
libxcb1  1.14-3
libxdmcp6  1:1.1.2-3
libxext6  2:1.3.3-1.1
libxml2  2.9.10+dfsg-6.7
libxmu6  2:1.1.2-2+b3
libxslt1.1  1.1.34-4
libxt6  1:1.2.0-1
libxtables12  1.8.7-1
libxxhash0  0.8.0-2
libyaml-0-2  0.2.2-1
libyaml-cpp0.6  0.6.3-9
libzmq5  4.3.4-1
libzstd1  1.4.8+dfsg-2.1
linux-base  4.6
linux-image-5.10.0-9-amd64  5.10.70-1
linux-image-amd64  5.10.70-1
login  1:4.8.1-1
logrotate  3.18.0-2
logsave  1.46.2-2
lsb-base  11.1.0
mawk  1.3.4.20200120-2
mdadm  4.1-11
media-types  4.0.0
mksh  59c-9+b2
mount  2.36.1-8
nano  5.4-2
ncurses-base  6.2+20201114-2
ncurses-bin  6.2+20201114-2
netbase  6.3
net-tools  1.60+git20181103.0eebece-1
network-manager  1.30.0-2
nfs-common  1:1.3.4-6
nftables  0.9.8-3.1
openssh-client  1:8.4p1-5
openssh-server  1:8.4p1-5
openssh-sftp-server  1:8.4p1-5
openssl  1.1.1k-1+deb11u1
passwd  1:4.8.1-1
perl-base  5.32.1-4+deb11u2
pinentry-curses  1.1.0-4
policykit-1  0.105-31
procps  2:3.3.17-5
psmisc  23.4-2
pv  1.6.6-1+b1
pycadf-common  3.1.1-2
python3  3.9.2-3
python3.9  3.9.2-1
python3.9-minimal  3.9.2-1
python3-alembic  1.4.3-1
python3-amqp  5.0.3-3
python3-amqplib  1.0.2-2
python3-anyjson  0.3.3-2
python3-attr  20.3.0-1
python3-babel  2.8.0+dfsg.1-7
python3-barbicanclient  5.0.1-2
python3-bcrypt  3.1.7-4
python3-binary-memcached  0.30.0+dfsg1-2
python3-blinker  1.4+dfsg1-0.3
python3-boto3  1.13.14-1
python3-botocore  1.20.0+repack-1
python3-bs4  4.9.3-1
python3-cachetools  4.2.1-1
python3-certifi  2020.6.20-1
python3-cffi-backend  1.14.5-1
python3-chardet  4.0.0-1
python3-cinderclient  1:7.2.0-3
python3-cliff  3.4.0-2
python3-cmd2  0.8.5-2.1
python3-confluent-kafka  1.3.0-2+b2
python3-cryptography  3.3.2-1
python3-dateutil  2.8.1-6
python3-debtcollector  2.2.0-3
python3-decorator  4.4.2-2
python3-distutils  3.9.2-1
python3-dnspython  2.0.0-1
python3-docker  4.1.0-1.2
python3-docutils  0.16+dfsg-4
python3-dogpile.cache  1.0.2-2
python3-editor  1.0.3-2
python3-eventlet  0.26.1-7
python3-extras  1.0.0-4
python3-fasteners  0.14.1-2
python3-fixtures  3.0.0-4
python3-futurist  2.3.0-2
python3-glanceclient  1:3.2.2-2
python3-google-auth  1.5.1-3
python3-greenlet  0.4.17-1+b1
python3-httplib2  0.18.1-3
python3-idna  2.10-1
python3-importlib-metadata  1.6.0-2
python3-ipaddr  2.2.0-4
python3-iso8601  0.1.13-1
python3-jeepney  0.6.0-1
python3-jinja2  2.11.3-1
python3-jmespath  0.10.0-1
python3-jsonpatch  1.25-3
python3-json-pointer  2.0-2
python3-jsonschema  3.2.0-3
python3-jwt  1.7.1-2
python3-keyring  22.0.1-1
python3-keystoneauth1  4.2.1-2
python3-keystoneclient  1:4.1.1-2
python3-keystonemiddleware  9.1.0-2
python3-kombu  5.0.2-3
python3-kubernetes  12.0.1-1
python3-ldap  3.2.0-4+b3
python3-lib2to3  3.9.2-1
python3-linecache2  1.0.0-4
python3-logutils  0.3.3-7
python3-lxml  4.6.3+dfsg-0.1
python3-mako  1.1.3+ds1-2
python3-markupsafe  1.1.1-1+b3
python3-memcache  1.59-5
python3-migrate  0.13.0-2
python3-mimeparse  1.6.0-3
python3-minimal  3.9.2-3
python3-monotonic  1.5-3
python3-more-itertools  4.2.0-3
python3-msgpack  1.0.0-6+b1
python3-nacl  1.4.0-1+b1
python3-netaddr  0.7.19-5
python3-netifaces  0.10.9-0.2+b3
python3-numpy  1:1.19.5-1
python3-oauthlib  3.1.0-2
python3-openssl  20.0.1-1
python3-oslo.cache  2.6.1-2
python3-oslo.concurrency  4.3.1-1
python3-oslo.config  1:8.3.3-1
python3-oslo.context  3.1.1-2
python3-oslo.db  8.4.0-2
python3-oslo.i18n  5.0.1-2
python3-oslo.log  4.4.0-2
python3-oslo.messaging  12.5.2-1
python3-oslo.middleware  4.1.1-2
python3-oslo.rootwrap  6.2.0-2
python3-oslo.serialization  4.0.2-1
python3-oslo.service  2.4.0-2
python3-oslo.utils  4.6.0-2
python3-os-service-types  1.7.0-2
python3-packaging  20.9-2
python3-paramiko  2.7.2-1
python3-parted  3.11.7-0.1+b1
python3-passlib  1.7.4-1
python3-paste  3.5.0+dfsg1-1
python3-pastedeploy  2.1.1-1
python3-pbr  5.5.0-2
python3-pecan  1.3.3-3
python3-pexpect  4.8.0-2
python3-pkg-resources  52.0.0-4
python3-prettytable  0.7.2-5
python3-psutil  5.8.0-1
python3-psycopg2  2.8.6-2
python3-ptyprocess  0.7.0-1
python3-pyasn1  0.4.8-1
python3-pyasn1-modules  0.2.1-1
python3-pycadf  3.1.1-2
python3-pycryptodome  3.9.7+dfsg1-1+b2
python3-pyghmi  1.5.14-1
python3-pyinotify  0.9.6-1.3
python3-pymysql  0.9.3-2
python3-pyparsing  2.4.7-1
python3-pyperclip  1.8.0-1
python3-pyrsistent  0.15.5-1+b3
python3-pyudev  0.22.0-2
python3-repoze.lru  0.7-2
python3-requests  2.25.1+dfsg-2
python3-requests-oauthlib  1.0.0-1.1
python3-requests-toolbelt  0.9.1-1
python3-retrying  1.3.3-4
python3-rfc3986  1.4.0-3
python3-roman  2.0.0-5
python3-routes  2.5.1-1
python3-rpm  4.16.1.2+dfsg1-3
python3-rsa  4.0-4
python3-ruamel.yaml  0.16.12-2
python3-ruamel.yaml.clib  0.2.2-1+b2
python3-s3transfer  0.3.4-1
python3-secretstorage  3.3.1-1
python3-setuptools  52.0.0-4
python3-simplegeneric  0.8.1-3
python3-simplejson  3.17.2-1
python3-singledispatch  3.4.0.3-3
python3-six  1.16.0-2
python3-soupsieve  2.2.1-1
python3-sqlalchemy  1.3.22+ds1-1
python3-sqlparse  0.4.1-1
python3-statsd  3.3.0-2
python3-stevedore  3.2.2-3
python3-tempita  0.5.2-6
python3-tenacity  6.2.0-4
python3-testresources  2.0.1-2
python3-testscenarios  0.5.0-3
python3-testtools  2.4.0-2
python3-traceback2  1.4.0-6
python3-tz  2021.1-1
python3-uhashring  1.2-2
python3-unittest2  1.1.0-7
python3-urllib3  1.26.5-1~exp1
python3-vine  5.0.0+dfsg-2
python3-waitress  1.4.4-1.1
python3-warlock  1.3.3-2
python3-wcwidth  0.1.9+dfsg1-2
python3-webob  1:1.8.6-1.1
python3-websocket  0.57.0-1
python3-websockify  0.9.0+dfsg1-3
python3-webtest  2.0.35-1
python3-wheel  0.34.2-1
python3-wrapt  1.12.1-4+b1
python3-wsme  0.10.0-3
python3-yaml  5.3.1-5
python3-yappi  1.0-1+b5
python3-zipp  1.0.0-3
python3-zmq  20.0.0-1+b1
python-babel-localedata  2.8.0+dfsg.1-7
python-pastedeploy-tpl  2.1.1-1
rake  13.0.3-1
readline-common  8.1-1
rng-tools  5migrate1
rng-tools-debian  2.3
rpcbind  1.2.5-9
rpm-common  4.16.1.2+dfsg1-3
rsyslog  8.2102.0-2
ruby  1:2.7+2
ruby2.7  2.7.4-1
rubygems-integration  1.18
ruby-minitest  5.13.0-1
ruby-net-telnet  0.1.1-2
ruby-power-assert  1.1.7-2
ruby-rubygems  3.2.5-2
ruby-test-unit  3.3.9-1
ruby-xmlrpc  0.3.0-2
runit-helper  2.10.3
sed  4.7-1
sensible-utils  0.0.14
sgml-base  1.30
sshpass  1.09-1+b1
sudo  1.9.5p2-3
systemd  247.3-6
systemd-sysv  247.3-6
systemd-timesyncd  247.3-6
sysvinit-utils  2.96-7
tar  1.34+dfsg-1
tasksel  3.68
tasksel-data  3.68
tzdata  2021a-1+deb11u1
ucf  3.0043
udev  247.3-6
udhcpc  1:1.30.1-6+b3
util-linux  2.36.1-8
vim  2:8.2.2434-3
vim-common  2:8.2.2434-3
vim-runtime  2:8.2.2434-3
vim-tiny  2:8.2.2434-3
watchdog  5.16-1+b1
wget  1.21-1+b1
whiptail  0.52.21-4+b3
wpasupplicant  2:2.9.0-21
x11-common  1:7.7+22
xclip  0.13-2
xml-core  0.18+nmu1
xxd  2:8.2.2434-3
zlib1g  1:1.2.11.dfsg-2
